time,mean,std,minimum,maximum,area_le_0_km2,area_gt_0_le_1_km2,area_gt_1_le_2_km2,area_gt_2_le_3_km2,area_gt_3_le_4_km2,area_gt_4_km2
1984-01-01,0.819,1.75,0.0,7.0,23727738,4937964,1005062,770990,717452,2454388
1984-02-01,0.819,1.729,0.0,7.0,23244545,5583270,944062,748911,701154,2391652
1984-03-01,0.82,1.719,0.0,7.0,22984121,5904411,931533,741881,695145,2356502
1984-04-01,0.808,1.719,0.0,7.0,23331576,5593269,908700,737623,684871,2357554
1984-05-01,0.777,1.717,0.0,7.0,24225171,4742616,891631,740074,681713,2332388
1984-06-01,0.745,1.712,0.0,7.0,25087975,3925841,888293,737561,668242,2305682
1984-07-01,0.698,1.711,0.0,7.0,26503856,2575162,863331,719180,662563,2289501
1984-08-01,0.644,1.689,0.0,7.0,27683576,1625186,788106,665690,638277,2212760
1984-09-01,0.704,1.841,0.0,8.0,28016114,807719,1025358,687856,613487,2463059
1984-10-01,0.786,1.949,0.0,8.0,27012584,1448768,1145575,725386,616872,2664408
1984-11-01,0.821,1.939,0.0,8.0,25766900,2711301,1128098,732180,622214,2652901
1984-12-01,0.85,1.927,0.0,8.0,24658124,3860489,1098839,738582,624059,2633499
1985-01-01,0.87,1.908,0.0,8.0,23723496,4853478,1087411,734670,618797,2595742
1985-02-01,0.873,1.897,0.0,8.0,23404625,5229571,1065260,729117,619111,2565909
1985-03-01,0.887,1.893,0.0,8.0,22927646,5698931,1067931,733162,620211,2565713
1985-04-01,0.882,1.893,0.0,8.0,23100206,5520691,1065292,742116,623949,2561338
1985-05-01,0.851,1.894,0.0,8.0,24025582,4645060,1038869,736304,620996,2546783
1985-06-01,0.809,1.894,0.0,8.0,25227436,3509225,1012830,723147,609253,2531702
1985-07-01,0.741,1.877,0.0,8.0,26901369,2048706,942412,680378,581345,2459383
1985-08-01,0.696,1.857,0.0,8.0,27873464,1238340,889668,647388,566366,2398368
1985-09-01,0.844,2.159,0.0,9.0,27960534,273031,977169,853339,634467,2915053
1985-10-01,0.867,2.147,0.0,9.0,26989467,1315921,925949,853182,635606,2893468
1985-11-01,0.903,2.131,0.0,9.0,25597120,2761178,896383,851965,627319,2879628
1985-12-01,0.929,2.119,0.0,9.0,24584997,3806370,886054,847213,623510,2865450
1986-01-01,0.954,2.109,0.0,9.0,23668293,4744454,875553,846364,608900,2870029
1986-02-01,0.968,2.095,0.0,9.0,22993783,5459322,868106,841047,605836,2845499
1986-03-01,0.971,2.084,0.0,9.0,22706417,5781249,863354,838965,602891,2820717
1986-04-01,0.954,2.085,0.0,9.0,23194966,5326334,842437,829524,613393,2806940
1986-05-01,0.914,2.083,0.0,9.0,24243394,4411971,783943,791130,602812,2780344
1986-06-01,0.875,2.069,0.0,9.0,25051411,3751858,739524,762892,585061,2722847
1986-07-01,0.806,2.04,0.0,9.0,26543349,2468306,693417,730648,552943,2624930
1986-08-01,0.74,1.994,0.0,9.0,27704666,1538391,648174,699661,534319,2488383
1986-09-01,0.891,2.281,0.0,10.0,27684282,354288,1322739,619543,684737,2948003
1986-10-01,0.912,2.253,0.0,10.0,26497069,1710072,1207746,618043,683049,2897615
1986-11-01,0.934,2.227,0.0,10.0,25273190,3083537,1124878,604855,670717,2856417
1986-12-01,0.957,2.219,0.0,10.0,24411132,4013657,1065889,603401,658463,2861051
1987-01-01,0.982,2.211,0.0,10.0,23482387,5005106,1021525,591525,647891,2865159
1987-02-01,1.002,2.208,0.0,10.0,22820585,5686678,999163,591187,643775,2872205
1987-03-01,0.998,2.209,0.0,10.0,22967116,5543132,978308,592915,645542,2886579
1987-04-01,0.99,2.212,0.0,10.0,23249541,5285269,943606,589043,649650,2896484
1987-05-01,0.96,2.208,0.0,10.0,24065720,4528653,916099,582233,651080,2869809
1987-06-01,0.931,2.207,0.0,10.0,24862740,3786262,894302,570961,641576,2857752
1987-07-01,0.885,2.188,0.0,10.0,25849179,2941947,847684,559666,624861,2790257
1987-08-01,0.853,2.231,0.0,11.0,27418085,1279813,905573,594958,587417,2827747
1987-09-01,0.973,2.461,0.0,11.0,27492313,498619,1028147,770825,542802,3280887
1987-10-01,0.98,2.419,0.0,11.0,26360334,1900251,899085,724427,528184,3201311
1987-11-01,1.013,2.404,0.0,11.0,25008014,3338581,858249,703235,522419,3183096
1987-12-01,1.043,2.397,0.0,11.0,24014232,4364057,823806,688115,521948,3201437
1988-01-01,1.062,2.366,0.0,11.0,22766977,5764534,791161,662501,502547,3125874
1988-02-01,1.06,2.348,0.0,11.0,22357980,6304846,743059,638198,492414,3077096
1988-03-01,1.064,2.341,0.0,11.0,22076348,6614480,743530,635213,488487,3055535
1988-04-01,1.036,2.334,0.0,11.0,22680732,6105807,716541,625018,484795,3000701
1988-05-01,0.99,2.325,0.0,11.0,23777018,5141009,678493,596293,471206,2949574
1988-06-01,0.953,2.321,0.0,11.0,24691507,4317007,656735,581919,455418,2911008
1988-07-01,0.897,2.313,0.0,11.0,26082999,3080065,620493,559855,427644,2842538
1988-08-01,0.911,2.406,0.0,12.0,27227215,1567728,840850,562557,453651,2961592
1988-09-01,1.025,2.621,0.0,12.0,27228723,683457,1366254,564819,553163,3217178
1988-10-01,1.043,2.597,0.0,12.0,26071586,2048949,1225458,550539,548222,3168840
1988-11-01,1.066,2.578,0.0,12.0,24868278,3429342,1131280,530981,533180,3120533
1988-12-01,1.087,2.549,0.0,12.0,23602879,4845788,1041225,530431,539189,3054082
1989-01-01,1.091,2.522,0.0,12.0,22831700,5790423,975779,520047,517722,2977922
1989-02-01,1.066,2.476,0.0,12.0,22391952,6540017,904042,491354,486994,2799235
1989-03-01,1.034,2.442,0.0,12.0,22462920,6696287,879496,461270,456636,2656985
1989-04-01,0.994,2.434,0.0,12.0,23348291,5914277,867070,453784,445710,2584462
1989-05-01,0.955,2.418,0.0,12.0,24080958,5324613,849451,430715,419561,2508295
1989-06-01,0.934,2.408,0.0,12.0,24461520,5006889,842736,424863,403930,2473655
1989-07-01,0.868,2.385,0.0,12.0,25962538,3662165,814348,408604,386893,2379045
1989-08-01,0.804,2.362,0.0,12.0,27372096,2448442,749618,391638,357352,2294449
1989-09-01,0.898,2.552,0.0,13.0,27750851,800477,1617763,608782,359276,2476444
1989-10-01,0.957,2.602,0.0,13.0,26571124,1771245,1732411,674723,350981,2513110
1989-11-01,0.987,2.577,0.0,13.0,25104588,3392346,1623026,672170,352914,2468550
1989-12-01,1.019,2.567,0.0,13.0,23837146,4791905,1538430,646838,342899,2456375
1990-01-01,1.028,2.542,0.0,13.0,23018926,5758879,1465381,638371,329868,2402169
1990-02-01,1.02,2.503,0.0,13.0,22344195,6709955,1329965,615655,307985,2305839
1990-03-01,1.006,2.468,0.0,13.0,22082514,7109958,1303966,593308,296438,2227409
1990-04-01,0.951,2.436,0.0,13.0,23090090,6294070,1240264,568244,284876,2136051
1990-05-01,0.9,2.407,0.0,13.0,24032455,5532607,1184731,548379,259992,2055430
1990-06-01,0.864,2.409,0.0,13.0,25060012,4582851,1148599,526189,250017,2045925
1990-07-01,0.8,2.395,0.0,13.0,26794607,2941570,1114934,515523,244345,2002614
1990-08-01,0.728,2.355,0.0,13.0,28328804,1599030,1065810,484952,226766,1908232
1990-09-01,0.841,2.584,0.0,14.0,28570690,269300,1247373,1007528,471834,2046868
1990-10-01,0.875,2.555,0.0,14.0,26921445,2072961,1151788,990326,471756,2005316
1990-11-01,0.929,2.554,0.0,14.0,25220406,3794352,1100607,987813,479886,2030530
1990-12-01,0.956,2.541,0.0,14.0,24099220,5006810,1043464,971161,476704,2016234
1991-01-01,0.957,2.506,0.0,14.0,23336917,5952608,978356,937762,456266,1951684
1991-02-01,0.974,2.495,0.0,14.0,22622960,6704967,959653,926389,455340,1944285
1991-03-01,0.974,2.488,0.0,14.0,22520220,6842150,944965,923796,450273,1932189
1991-04-01,0.956,2.484,0.0,14.0,22932209,6505802,917748,892205,439771,1925858
1991-05-01,0.92,2.475,0.0,14.0,23838364,5691273,888804,857463,431383,1906307
1991-06-01,0.891,2.475,0.0,14.0,24687383,4874812,877414,847331,431383,1895271
1991-07-01,0.826,2.466,0.0,14.0,26494744,3159304,850260,828299,425979,1855008
1991-08-01,0.773,2.443,0.0,14.0,27699167,2076834,815754,801930,423174,1796734
1991-09-01,0.799,2.519,0.0,15.0,28231680,1004857,1172556,753270,572218,1879012
1991-10-01,0.89,2.598,0.0,15.0,26794356,1922339,1446467,723453,726595,2000383
1991-11-01,0.921,2.565,0.0,15.0,25216400,3653438,1377997,708341,700840,1956578
1991-12-01,0.935,2.534,0.0,15.0,24165043,4882274,1290927,682774,680731,1911845
1992-01-01,0.961,2.526,0.0,15.0,23042678,6136629,1231215,652132,654614,1896324
1992-02-01,0.963,2.5,0.0,15.0,22471285,6854835,1169846,633289,631679,1852659
1992-03-01,0.947,2.471,0.0,15.0,22426395,7031764,1113960,620250,621467,1799758
1992-04-01,0.921,2.463,0.0,15.0,23092854,6424835,1077797,618106,618640,1781362
1992-05-01,0.876,2.438,0.0,15.0,23995734,5661071,1034941,610549,597746,1713552
1992-06-01,0.845,2.415,0.0,15.0,24573568,5176355,1005368,599121,589067,1670115
1992-07-01,0.787,2.381,0.0,15.0,25884148,3991310,975999,584739,566076,1611322
1992-08-01,0.718,2.335,0.0,15.0,27470398,2485712,976463,588831,552738,1539451
1992-09-01,0.88,2.592,0.0,16.0,27395715,688515,1941913,950047,576350,2061054
1992-10-01,0.919,2.601,0.0,16.0,26117339,2153103,1761387,917002,574810,2089951
1992-11-01,0.951,2.606,0.0,16.0,25065864,3330294,1638146,899918,569980,2109392
1992-12-01,0.985,2.609,0.0,16.0,23897392,4599110,1555004,892731,565934,2103422
1993-01-01,0.995,2.578,0.0,16.0,22837732,5880533,1477257,866284,539841,2011946
1993-02-01,0.989,2.548,0.0,16.0,22215417,6754452,1408748,840615,487740,1906621
1993-03-01,0.975,2.531,0.0,16.0,22132706,7001876,1379686,818504,431697,1849125
1993-04-01,0.942,2.525,0.0,16.0,22768579,6551611,1301783,789088,403137,1799396
1993-05-01,0.895,2.514,0.0,16.0,23926141,5531743,1245488,768351,377735,1764136
1993-06-01,0.858,2.5,0.0,16.0,24817693,4722272,1225929,758690,368466,1720542
1993-07-01,0.796,2.492,0.0,16.0,26524969,3149941,1167529,729109,347871,1694174
1993-08-01,0.732,2.454,0.0,16.0,27949144,1904422,1075040,702882,328878,1653227
1993-09-01,0.786,2.504,0.0,16.0,28342196,670874,1287039,919987,586082,1807416
1993-10-01,0.872,2.545,0.0,16.0,26553184,2250918,1231530,989886,668596,1919480
1993-11-01,0.923,2.554,0.0,16.0,24984725,3870268,1172085,986320,656303,1943892
1993-12-01,0.949,2.551,0.0,16.0,23997108,4974685,1090710,972300,641576,1937216
1994-01-01,0.964,2.537,0.0,16.0,23062629,6111054,984922,941281,608806,1904901
1994-02-01,0.973,2.52,0.0,16.0,22466847,6793176,956001,939899,583018,1874653
1994-03-01,0.955,2.499,0.0,16.0,22540053,6834767,935461,928863,555566,1818884
1994-04-01,0.926,2.484,0.0,16.0,22986847,6523051,921299,913193,511250,1757955
1994-05-01,0.902,2.489,0.0,16.0,23764294,5785648,905966,903806,495634,1758245
1994-06-01,0.861,2.47,0.0,16.0,24740285,4865582,911582,902157,473680,1720307
1994-07-01,0.798,2.432,0.0,16.0,26100562,3636432,885230,892613,447281,1651476
1994-08-01,0.724,2.364,0.0,16.0,27433873,2481000,861626,879810,422821,1534464
1994-09-01,0.818,2.463,0.0,16.0,27582524,889353,1749134,862294,733044,1797244
1994-10-01,0.869,2.482,0.0,16.0,26406551,1941190,1778377,826445,810201,1850829
1994-11-01,0.915,2.503,0.0,16.0,25057538,3419484,1647768,819525,775931,1893347
1994-12-01,0.937,2.492,0.0,16.0,23987486,4675458,1549977,799692,726014,1874967
1995-01-01,0.945,2.477,0.0,16.0,23139920,5758093,1453128,771870,668219,1822364
1995-02-01,0.938,2.455,0.0,16.0,22687330,6435628,1392489,726328,626377,1745442
1995-03-01,0.925,2.438,0.0,16.0,22648527,6616915,1348935,697619,601713,1699885
1995-04-01,0.89,2.423,0.0,16.0,23266727,6194157,1283937,660710,565227,1642836
1995-05-01,0.85,2.409,0.0,16.0,24252780,5301717,1253460,644050,550303,1611283
1995-06-01,0.82,2.411,0.0,16.0,25130430,4482899,1228443,638512,531177,1602132
1995-07-01,0.751,2.386,0.0,16.0,26797686,2965952,1205389,606041,498619,1539907
1995-08-01,0.692,2.363,0.0,16.0,28194055,1720896,1159478,592994,456596,1489574
1995-09-01,0.697,2.374,0.0,16.0,28513783,1211477,1178172,692396,469321,1548445
1995-10-01,0.798,2.441,0.0,16.0,27265515,1758332,1269327,982534,551466,1786420
1995-11-01,0.845,2.42,0.0,16.0,25343608,3825653,1169964,962520,552856,1758991
1995-12-01,0.868,2.401,0.0,16.0,24171916,5174863,1069306,921676,544295,1731539
1996-01-01,0.874,2.377,0.0,16.0,23445438,6083688,986996,881679,528153,1687639
1996-02-01,0.886,2.364,0.0,16.0,22785671,6843642,935186,858838,522890,1667366
1996-03-01,0.87,2.334,0.0,16.0,22751110,7021120,888293,832564,512758,1607748
1996-04-01,0.844,2.328,0.0,16.0,23368556,6496439,859592,811961,492304,1584742
1996-05-01,0.815,2.319,0.0,16.0,24015803,5963950,817051,789284,476037,1551469
1996-06-01,0.791,2.316,0.0,16.0,24630711,5408973,796235,781311,461977,1534385
1996-07-01,0.74,2.29,0.0,16.0,25798186,4370097,757103,761942,440180,1486086
1996-08-01,0.688,2.263,0.0,16.0,27078014,3208113,710619,745769,427298,1443781
